run,seed,episode,outcome,failure_mode,steps,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,success_shape_yaw_error_deg,final_shape_yaw_error_deg,final_peg_tilt_angle_deg,low_z_misaligned_steps,insert_band_misaligned_steps,visual_yaw_align_steps,visual_yaw_align_blocked_steps,final_servo_descent_steps,final_servo_recovery_triggers,fixture_clearance_steps,last_pre_dist_xy,last_pre_z_above_target,last_true_signed_yaw_deg,last_pred_signed_yaw_deg,last_pose_ik_target_square_yaw_error_deg,last_final_servo_phase,last_visual_yaw_reason,top_visual_yaw_reasons,temporal_gate_steps,low_visibility_brake_steps,target_hold_steps,aligned_descent_steps,blocked_down_rows,visible_prediction_rows,high_pred_rows,sign_mismatch_rows,high_error_rows,correct_high_yaw_visible_rows,correct_high_yaw_xy_gate_rows,correct_high_yaw_raw_norm_gate_rows,correct_high_yaw_inactive_rows,max_pred_abs_yaw_deg,max_truth_abs_yaw_deg,max_pred_truth_abs_error_deg,final_window_pred_abs_mean_deg,final_window_truth_abs_mean_deg,final_window_pred_truth_abs_error_mean_deg
wrong_basin_hold_xy60,906506,6,success,success,272,0.001979,0.008907,0.000581,0.008907,3.068,3.068,0.042,0,0,147,37,60,0,0,0.002123,0.010439,3.068,-2.502,nan,square_fast_settle,aligned_descent_latch,inactive_phase:124;applied:99;aligned_descent_latch:36,0,0,1,48,37,148,9,0,0,6,0,0,0,167.408,176.453,24.960,1.845,1.079,2.923
wrong_basin_hold_xy60,906507,7,success,success,294,0.002683,0.009504,0.000032,0.009504,4.265,4.265,0.037,0,0,117,60,64,0,0,0.002880,0.010963,4.265,-2.421,nan,square_fast_settle,aligned_descent_latch,inactive_phase:161;applied:69;aligned_descent_latch:33,0,0,16,48,60,133,10,0,0,7,0,0,0,165.650,172.409,24.660,1.809,3.717,5.527
wrong_basin_hold_xy60,906508,8,success,success,421,0.001971,0.009071,0.000021,0.009071,5.984,5.984,0.069,0,0,141,40,52,0,0,0.001958,0.010753,5.984,-2.142,nan,square_fast_settle,aligned_descent_latch,inactive_phase:280;applied:90;aligned_descent_latch:33,0,0,0,51,40,141,9,0,0,5,0,0,0,174.457,179.980,25.866,1.832,4.127,5.959
wrong_basin_hold_xy60,906509,9,success,success,278,0.001108,0.009238,0.000376,0.009238,2.959,2.959,0.039,0,0,116,42,58,0,0,0.001306,0.010897,2.959,-1.588,nan,square_fast_settle,aligned_descent_latch,inactive_phase:156;applied:74;aligned_descent_latch:27,0,0,6,42,42,122,11,0,0,8,0,0,0,170.172,169.804,27.987,1.825,1.246,3.048
wrong_basin_hold_xy60,906510,10,success,success,264,0.001911,0.000121,0.000696,0.000030,8.911,8.911,0.272,0,0,129,69,82,0,0,0.001588,-0.000030,8.911,-1.298,nan,square_fast_settle,z_gate,inactive_phase:105;applied:77;aligned_descent_latch:41,0,0,28,57,69,152,9,0,0,6,0,0,0,169.553,173.773,27.488,1.845,6.906,8.734
wrong_basin_hold_xy60,906511,11,success,success,361,0.002073,0.008646,0.000352,0.008646,3.069,3.069,0.098,0,0,117,41,60,0,0,0.002093,0.010038,-3.069,-1.926,nan,square_fast_settle,aligned_descent_latch,inactive_phase:243;applied:61;aligned_descent:36,0,0,1,57,41,118,8,0,0,4,0,0,0,175.175,175.510,26.946,1.675,1.962,0.779
wrong_basin_hold_xy60,906512,12,success,success,277,0.001378,0.009673,0.000132,0.009673,4.705,4.705,0.038,0,0,141,72,75,0,0,0.001499,0.011078,4.705,-2.868,nan,square_fast_settle,aligned_descent_latch,inactive_phase:122;applied:101;aligned_descent_latch:33,0,0,13,40,72,154,9,0,0,5,0,0,0,170.707,174.016,26.113,2.007,2.290,4.297
wrong_basin_hold_xy60,906513,13,success,success,295,0.001416,0.009186,0.000120,0.009186,4.631,4.631,0.033,0,0,134,55,63,0,0,0.001597,0.010671,4.631,-2.066,nan,square_fast_settle,aligned_descent_latch,inactive_phase:161;applied:81;aligned_descent:37,0,0,0,53,55,134,9,0,0,6,0,0,0,173.306,179.985,25.651,1.834,3.660,5.494
wrong_basin_hold_xy60,906514,14,timeout,timeout_never_descended_low,1000,0.001930,0.072601,0.000218,0.066511,2.652,2.652,0.833,0,0,738,683,670,2,0,0.002316,0.072375,2.652,2.312,nan,near_miss_descend,applied,applied:738;inactive_phase:109;raw_norm_gate:77,0,2,0,0,683,738,99,71,37,14,0,0,0,172.582,179.667,119.796,2.414,2.666,0.307
wrong_basin_hold_xy60,906515,15,success,success,347,0.002399,0.009378,0.000324,0.009378,7.844,7.844,0.065,0,0,110,44,69,0,0,0.002140,0.010122,7.844,-2.498,nan,square_fast_settle,applied,inactive_phase:220;applied:54;aligned_descent_latch:50,0,0,17,60,44,127,8,0,0,5,0,0,0,178.569,174.238,28.244,1.806,5.063,6.861
