candidate,scenario,level,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,mean_guarded_steps,mean_guarded_step_fraction,guarded_episode_rate,guard_enabled,mean_final_dist_xy,mean_final_dist_z,scenario_filter,guard_start_xy,guard_start_z,guard_risk_xy,guard_blend,guard_action_gain,guarded_align_xy_tolerance,guarded_insert_xy_tolerance,guarded_retract_xy_tolerance,guarded_preinsert_height,guarded_max_xy_action,guarded_max_down_action,guarded_max_up_action,guarded_prediction_steps,control_scale_range,control_noise_std_range,control_delay_range,control_filter_alpha_range
guard_xy060_z100_blend100_down0045_align025,visual_camera_control,visual_camera_control,30,0.9,0.1,0.0,112.99566471674207,27.966666666666665,0.0,0.0,0.0,False,0.008416928902222858,0.012902388777944706,geometry,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0045,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align020,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,102.44707160449288,30.333333333333332,0.0,0.0,0.0,False,0.009525932323081191,0.015306122412941619,geometry,0.06,0.1,0.0,1.0,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align015,visual_camera_control,visual_camera_control,30,0.9,0.1,0.0,112.85075409606802,27.833333333333332,0.0,0.0,0.0,False,0.0084745990574189,0.012930351388910426,geometry,0.06,0.1,0.0,1.0,1.0,0.015,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
no_guard,full_light_geometry,full_light_geometry,30,0.6666666666666666,0.3333333333333333,0.0,2.7476018915032694,15.8,0.0,0.0,0.0,False,0.012747937052981502,0.01953635362430951,none,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align025,full_light_geometry,full_light_geometry,30,0.7333333333333333,0.2,0.06666666666666667,56.12898683350865,39.4,38.233333333333334,0.9703891708967851,0.9333333333333333,True,0.011178850582752555,0.023427910899600723,geometry,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy040_z100_blend100_down0035_align025,full_light_geometry,full_light_geometry,30,0.7,0.2,0.1,58.091681166041184,45.833333333333336,43.1,0.9403636363636364,0.9,True,0.011566523450518156,0.026298482198936775,geometry,0.04,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy050_z100_blend100_down0035_align025,full_light_geometry,full_light_geometry,30,0.6666666666666666,0.23333333333333334,0.1,43.480029338795205,45.4,43.5,0.9581497797356828,0.9333333333333333,True,0.011623792777425448,0.025962417511759973,geometry,0.05,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy070_z100_blend100_down0035_align025,full_light_geometry,full_light_geometry,30,0.7333333333333333,0.2,0.06666666666666667,55.01018475494951,39.46666666666667,38.666666666666664,0.9797297297297296,0.9666666666666667,True,0.011411786563929632,0.023448127058893504,geometry,0.07,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z060_blend100_down0035_align025,full_light_geometry,full_light_geometry,30,0.6,0.3333333333333333,0.06666666666666667,-1.4815588579056738,37.06666666666667,31.766666666666666,0.8570143884892085,0.9333333333333333,True,0.013391019173473155,0.028547849987624427,geometry,0.06,0.06,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z080_blend100_down0035_align025,full_light_geometry,full_light_geometry,30,0.7333333333333333,0.2,0.06666666666666667,56.12894743136201,39.4,38.233333333333334,0.9703891708967851,0.9333333333333333,True,0.011178795142882666,0.023427829155129642,geometry,0.06,0.08,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
