profile,clearance_mm,yaw_error_deg,canonical_yaw_error_deg,period_deg,passes_geometry,min_margin_mm,clearance_reference
triangle_triangle,0.5,15.0,15.0,120.0,False,-1.98528137423857,hole apothem - peg apothem
triangle_triangle,0.75,0.0,0.0,120.0,True,0.7499999999999978,hole apothem - peg apothem
triangle_triangle,0.75,1.0,1.0,120.0,True,0.5695431010793494,hole apothem - peg apothem
triangle_triangle,0.75,2.0,2.0,120.0,True,0.3909688292015402,hole apothem - peg apothem
triangle_triangle,0.75,3.0,3.0,120.0,True,0.21433157981967493,hole apothem - peg apothem
triangle_triangle,0.75,5.0,5.0,120.0,False,-0.13291723621255336,hole apothem - peg apothem
triangle_triangle,0.75,8.0,8.0,120.0,False,-0.6379377039079002,hole apothem - peg apothem
triangle_triangle,0.75,10.0,10.0,120.0,False,-0.9634513162384724,hole apothem - peg apothem
triangle_triangle,0.75,15.0,15.0,120.0,False,-1.7352813742385704,hole apothem - peg apothem
triangle_triangle,1.0,0.0,0.0,120.0,True,0.9999999999999979,hole apothem - peg apothem
triangle_triangle,1.0,1.0,1.0,120.0,True,0.819543101079349,hole apothem - peg apothem
triangle_triangle,1.0,2.0,2.0,120.0,True,0.6409688292015396,hole apothem - peg apothem
triangle_triangle,1.0,3.0,3.0,120.0,True,0.4643315798196746,hole apothem - peg apothem
triangle_triangle,1.0,5.0,5.0,120.0,True,0.11708276378744627,hole apothem - peg apothem
triangle_triangle,1.0,8.0,8.0,120.0,False,-0.38793770390790056,hole apothem - peg apothem
triangle_triangle,1.0,10.0,10.0,120.0,False,-0.7134513162384722,hole apothem - peg apothem
triangle_triangle,1.0,15.0,15.0,120.0,False,-1.4852813742385709,hole apothem - peg apothem
triangle_triangle,1.5,0.0,0.0,120.0,True,1.4999999999999976,hole apothem - peg apothem
triangle_triangle,1.5,1.0,1.0,120.0,True,1.319543101079349,hole apothem - peg apothem
triangle_triangle,1.5,2.0,2.0,120.0,True,1.1409688292015399,hole apothem - peg apothem
triangle_triangle,1.5,3.0,3.0,120.0,True,0.9643315798196747,hole apothem - peg apothem
triangle_triangle,1.5,5.0,5.0,120.0,True,0.6170827637874463,hole apothem - peg apothem
triangle_triangle,1.5,8.0,8.0,120.0,True,0.1120622960920996,hole apothem - peg apothem
triangle_triangle,1.5,10.0,10.0,120.0,False,-0.21345131623847244,hole apothem - peg apothem
triangle_triangle,1.5,15.0,15.0,120.0,False,-0.9852813742385707,hole apothem - peg apothem
