episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,final_xy_bucket,min_xy_bucket,mean_action_z,mean_action_xy_norm,last_action_x,last_action_y,last_action_z,hole_half_size,peg_radius,hole_clearance
10,730010,success,True,False,False,13,140.16937764990556,0.003695293390774252,0.008012757889705235,0.003695293390774252,0.006163889637077813,aligned_<0.005,aligned_<0.005,0.0006898598064883397,0.005627642410944901,0.004933505319058895,0.0020926380529999733,0.003919593989849091,0.02568053072379007,0.012,0.01368053072379007
11,730011,collision,False,True,False,126,-132.5862176670684,0.022119993685776884,0.07990376302628721,0.0008367936558498314,0.0055069236667349974,off_0.015_0.030,aligned_<0.005,2.6659459792195806e-05,0.005287546030683985,-0.004999836441129446,0.004999999888241291,-0.004999999888241291,0.02897412240850802,0.012,0.01697412240850802
12,730012,success,True,False,False,14,148.2373749353949,0.004822245944769988,0.007955732536555682,0.004822245944769988,0.0056726163573292965,aligned_<0.005,aligned_<0.005,0.0006243293672533971,0.005159644777545605,0.004837704822421074,-0.00036049215123057365,0.004732857458293438,0.025460946342861706,0.012,0.013460946342861706
13,730013,collision,False,True,False,49,-291.7304640394121,0.10342881301906422,0.00692398082491219,0.037951070474525644,0.00692398082491219,far_>=0.030,far_>=0.030,0.004412504568772048,0.005013110776059688,0.004972612485289574,0.002969699911773205,0.004125251434743404,0.028959406453718816,0.012,0.016959406453718816
14,730014,collision,False,True,False,51,-251.10496599864157,0.021229626404031275,0.00989313000031311,0.001959565028860701,0.0052683049198402054,off_0.015_0.030,aligned_<0.005,0.0024632789039363465,0.006208224668225728,0.00499979592859745,-0.004246322903782129,0.004908853210508823,0.028215304262900445,0.012,0.016215304262900444
15,730015,success,True,False,False,16,150.92160569426397,0.004634960728859912,0.007968866829815902,0.0016316653347840109,0.005743061338892019,aligned_<0.005,aligned_<0.005,0.001684112154180184,0.005857496499297481,0.004982717335224152,-0.0016089160926640034,0.0041819047182798386,0.028327758412029717,0.012,0.016327758412029717
16,730016,collision,False,True,False,35,-298.33902220034287,0.09196654818121121,0.00650057003195148,0.058266708809552425,0.00650057003195148,far_>=0.030,far_>=0.030,0.004094399059457438,0.004790116241638197,0.00493618194013834,0.0036117704585194588,-0.0001012519933283329,0.026366507404520352,0.012,0.014366507404520352
17,730017,success,True,False,False,14,139.63517774276414,0.004723270809775839,0.008542620512591803,0.0031889376461242108,0.005891686871576929,aligned_<0.005,aligned_<0.005,0.0010985006312174456,0.004537881741189187,0.004671121947467327,0.002079139929264784,0.00459281075745821,0.02896170287176827,0.012,0.01696170287176827
18,730018,success,True,False,False,35,167.40270410239535,0.004895550678277515,0.007998096049121273,0.004895550678277515,0.00558019316724867,aligned_<0.005,aligned_<0.005,0.002929315882335816,0.003896529200136151,0.003401760011911392,0.0008242451585829258,0.004390867426991463,0.02568446187189499,0.012,0.013684461871894989
19,730019,collision,False,True,False,124,-129.4219500808791,0.021585342622363557,0.07678255106981002,0.0024315267955235145,0.006898978984805737,off_0.015_0.030,aligned_<0.005,-0.001092367287304613,0.005167499677264505,-0.004999981261789799,0.004999999888241291,-0.004999999888241291,0.0284535211698359,0.012,0.0164535211698359
