run,seed,episode,outcome,failure_mode,steps,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,success_shape_yaw_error_deg,final_shape_yaw_error_deg,final_peg_tilt_angle_deg,low_z_misaligned_steps,insert_band_misaligned_steps,visual_yaw_align_steps,visual_yaw_align_blocked_steps,final_servo_descent_steps,final_servo_recovery_triggers,fixture_clearance_steps,last_pre_dist_xy,last_pre_z_above_target,last_true_signed_yaw_deg,last_pred_signed_yaw_deg,last_pose_ik_target_square_yaw_error_deg,last_final_servo_phase,last_visual_yaw_reason,top_visual_yaw_reasons,temporal_gate_steps,low_visibility_brake_steps,target_hold_steps,aligned_descent_steps,blocked_down_rows,visible_prediction_rows,high_pred_rows,sign_mismatch_rows,high_error_rows,correct_high_yaw_visible_rows,correct_high_yaw_xy_gate_rows,correct_high_yaw_raw_norm_gate_rows,correct_high_yaw_inactive_rows,max_pred_abs_yaw_deg,max_truth_abs_yaw_deg,max_pred_truth_abs_error_deg,final_window_pred_abs_mean_deg,final_window_truth_abs_mean_deg,final_window_pred_truth_abs_error_mean_deg
visible_brake,910507,7,success,success,216,0.000708,0.008854,0.000177,0.008854,3.829,3.829,0.040,0,0,126,38,55,0,0,0.000738,0.010471,3.829,-2.140,nan,square_fast_settle,aligned_descent_latch,inactive_phase:89;applied:82;aligned_descent_latch:36,0,0,0,44,38,126,10,0,1,6,0,0,0,167.904,173.751,30.532,1.906,1.155,2.457
visible_brake,910508,8,success,success,300,0.001828,0.009084,0.000340,0.009084,2.022,2.022,0.051,0,0,113,56,55,0,0,0.001771,0.010596,2.022,-1.953,nan,square_fast_settle,aligned_descent,inactive_phase:167;applied:70;aligned_descent:36,0,0,19,52,56,132,10,0,0,5,0,0,0,163.333,175.930,28.384,1.043,5.813,6.777
visible_brake,910509,9,success,success,324,0.002110,0.009260,0.000141,0.009260,0.628,0.628,0.066,0,0,131,48,65,0,0,0.002139,0.010745,0.628,-1.835,nan,square_fast_settle,aligned_descent_latch,inactive_phase:193;applied:79;aligned_descent:31,0,0,0,52,48,131,8,0,0,5,0,0,0,173.823,175.241,25.438,1.834,0.778,2.447
visible_brake,910510,10,success,success,194,0.002137,0.008893,0.000084,0.008893,3.817,3.817,0.047,0,0,126,32,57,0,0,0.002093,0.010364,3.817,-2.567,nan,square_fast_settle,aligned_descent_latch,applied:70;inactive_phase:68;aligned_descent:42,0,0,0,56,32,126,8,0,0,6,0,0,0,170.478,170.322,29.251,1.744,2.084,3.828
visible_brake,910511,11,success,success,228,0.002368,0.008817,0.000157,0.008817,4.020,4.020,0.035,0,0,140,27,60,0,0,0.002471,0.010177,4.020,-2.559,nan,square_fast_settle,aligned_descent_latch,inactive_phase:88;applied:82;aligned_descent_latch:38,0,0,0,58,27,140,10,0,0,6,0,0,0,173.507,179.976,25.398,1.923,1.189,3.112
visible_brake,910512,12,success,success,225,0.000844,0.008471,0.000160,0.008471,9.855,9.855,0.043,0,0,144,87,61,0,0,0.000837,0.010058,9.855,-3.633,nan,square_fast_settle,aligned_descent_latch,applied:102;inactive_phase:55;aligned_descent_latch:31,0,0,22,42,87,166,11,0,5,6,0,0,0,160.478,171.124,48.411,1.882,5.077,6.814
visible_brake,910513,13,success,success,488,0.002369,0.006292,0.000062,0.001913,9.962,9.962,0.041,0,0,166,123,130,0,0,0.002683,0.006612,9.962,-1.094,nan,square_fast_settle,applied,inactive_phase:284;applied:116;aligned_descent_latch:33,0,0,37,54,123,173,9,0,1,5,0,0,0,177.037,175.923,34.586,1.677,19.990,21.420
visible_brake,910514,14,success,success,304,0.002735,0.009147,0.000129,0.009147,4.812,4.812,0.056,0,0,154,57,55,0,0,0.002629,0.010619,4.812,-2.971,nan,square_fast_settle,aligned_descent_latch,inactive_phase:145;applied:106;aligned_descent_latch:41,0,0,4,48,57,158,12,0,3,6,0,0,0,178.413,178.470,50.856,1.750,2.933,4.684
visible_brake,910515,15,success,success,466,0.001330,0.008784,0.000146,0.008784,1.035,1.035,0.094,0,0,119,35,62,0,0,0.001261,0.010131,-1.035,-2.742,nan,square_fast_settle,aligned_descent_latch,inactive_phase:347;applied:63;aligned_descent:49,0,0,0,56,35,119,8,0,0,5,0,0,0,175.537,176.299,19.838,1.588,1.490,2.357
visible_brake,910516,16,success,success,314,0.000777,0.008659,0.000098,0.008659,1.473,1.473,0.050,0,0,132,51,63,0,0,0.000828,0.010172,-1.473,-1.755,nan,square_fast_settle,aligned_descent,inactive_phase:182;applied:78;aligned_descent:41,0,0,0,54,51,132,8,0,0,5,0,0,0,174.777,180.000,25.643,1.714,0.753,1.912
visible_brake,910517,17,timeout,timeout_wrong_yaw_basin,1000,0.287572,0.051124,0.013719,0.051124,179.279,179.279,1.052,0,0,131,147,0,2,0,0.289136,0.051246,-179.279,59.146,nan,recover_recenter,xy_gate,xy_gate:659;inactive_phase:166;applied:131,0,14,29,0,147,142,76,36,44,22,0,0,0,179.276,180.000,170.194,9.999,10.756,13.287
visible_brake,910518,18,success,success,412,0.001675,0.009530,0.000716,0.009530,1.322,1.322,0.060,0,0,106,54,62,0,0,0.001843,0.011102,1.322,-2.363,nan,square_fast_settle,aligned_descent_latch,inactive_phase:285;applied:52;aligned_descent_latch:31,0,0,21,54,54,127,8,0,0,5,0,0,0,166.754,179.972,28.390,1.382,1.032,1.632
visible_brake,910519,19,timeout,timeout_never_descended_low,1000,0.000993,0.034608,0.000171,0.033636,0.006,0.006,0.841,0,0,327,247,163,1,0,0.001621,0.034515,-0.006,2.243,nan,square_fast_settle,applied,xy_gate:333;applied:309;inactive_phase:288,0,2,36,18,247,359,59,15,16,24,0,0,0,179.546,179.954,73.842,2.545,0.376,2.573
