episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,scale_bucket,noise_bucket,delay_bucket,filter_bucket,joint_bucket,max_commanded_action_norm,max_applied_action_norm,mean_commanded_action_norm,mean_applied_action_norm
80,150080,success,True,False,False,28,162.2183295330716,0.002276763636990693,0.008025213055447566,1.165389681712906,0.0001189217079116041,2,0.954267235169371,high_>1.10,low_<0.00025,delay_2,high_>=0.85,delay_2|high_>=0.85|high_>1.10|low_<0.00025,1.723784319639866,1.7320507688545248,1.486641570993141,1.487673977417525
81,150081,collision,False,True,False,11,-296.91435764298757,0.038525297007938844,0.01002028963820878,1.0384481410363464,8.461479469326845e-05,2,0.9303081292963058,mid_0.90_1.10,low_<0.00025,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.701785143726506,1.7056081270560588,1.5382355722308987,1.2725391458069708
82,150082,collision,False,True,False,127,-25.077161404577964,0.038947967624276034,0.06865668537814507,0.9105334246069505,0.0007080323871207715,0,0.6262472821653249,mid_0.90_1.10,high_>=0.00055,delay_0,low_<0.70,delay_0|low_<0.70|mid_0.90_1.10|high_>=0.00055,1.7300810817785564,1.6992871331539838,1.3978055486425665,1.2312358794010847
83,150083,collision,False,True,False,134,-160.20880120537515,0.03803442233303953,0.07971195794645203,1.0189612956660636,0.00023030527636561075,2,0.582151884540679,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,1.7320017312687057,1.7320507688545248,1.4122140783361128,1.3401988547824144
84,150084,success,True,False,False,18,150.02395572527274,0.004622432481806757,0.007951014559871017,1.0351233062427314,2.277423681940194e-05,1,0.7881509214625766,mid_0.90_1.10,low_<0.00025,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|mid_0.90_1.10|low_<0.00025,1.7243347580621875,1.7320507688545248,1.534330911686765,1.436833912570434
85,150085,success,True,False,False,15,147.60320247645296,0.004434453386037797,0.008392598202544121,0.9711951485486419,0.0007030919670837457,0,0.7262700316432862,mid_0.90_1.10,high_>=0.00055,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|mid_0.90_1.10|high_>=0.00055,1.6282502891980482,1.6413880776641654,1.4099637044934814,1.2915671735816694
86,150086,success,True,False,False,33,180.2406775140688,0.004972959788114333,0.007827843000670964,0.9110638525539801,0.0005297701948725089,0,0.7599743054593598,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.6597781923978985,1.4607792544225162,1.254824515448857,1.0989733649792275
87,150087,collision,False,True,False,128,-36.191855817248666,0.038634765672019455,0.07469682789148535,0.8717438510431874,0.00019331191007007772,1,0.9730454295646823,low_<0.90,low_<0.00025,delay_1,high_>=0.85,delay_1|high_>=0.85|low_<0.90|low_<0.00025,1.7243439674107912,1.5695271700208202,1.3814667849498374,1.19513376974157
88,150088,success,True,False,False,7,136.71937595845048,0.002222760596538649,0.004119721526608888,1.167462422744313,0.00021747392875953375,0,0.8815619748962203,high_>1.10,low_<0.00025,delay_0,high_>=0.85,delay_0|high_>=0.85|high_>1.10|low_<0.00025,1.4637478418740928,1.5483986337595117,1.2753182191012726,1.3394605188789377
89,150089,success,True,False,False,21,146.7032476630264,0.00453681355601805,0.008012611039286854,0.9985882768193386,0.00016823281553807139,2,0.8390204701854884,mid_0.90_1.10,low_<0.00025,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|mid_0.90_1.10|low_<0.00025,1.7264581086536357,1.7272856685772222,1.493219684107481,1.3365749754184213
90,150090,collision,False,True,False,141,-15.683678002574936,0.03870944176631674,0.07691192244670164,0.8592988579445522,0.00038657919393499053,2,0.5824102611765805,low_<0.90,mid_0.00025_0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|mid_0.00025_0.00055,1.729810752388702,1.5986756035629675,1.3868461141577366,1.1576029262028
91,150091,success,True,False,False,15,150.3371796715131,0.004751149327001348,0.007889033794617917,1.1914525676415093,0.0003645103138269477,0,0.8197440260755493,high_>1.10,mid_0.00025_0.00055,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|high_>1.10|mid_0.00025_0.00055,1.3267604807290134,1.5985658213160494,1.078295155407465,1.2064182799612098
92,150092,collision,False,True,False,129,-58.05141439430216,0.03986341622760593,0.06903278599114149,0.8236847947823533,0.0002543370362907901,0,0.5542208151642033,low_<0.90,mid_0.00025_0.00055,delay_0,low_<0.70,delay_0|low_<0.70|low_<0.90|mid_0.00025_0.00055,1.7315015249614425,1.4914509106714375,1.367495067963024,1.1010155610905548
