candidate,scenario,level,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,mean_guarded_steps,mean_guarded_step_fraction,guarded_episode_rate,guard_enabled,mean_final_dist_xy,mean_final_dist_z,scenario_filter,guard_start_xy,guard_start_z,guard_risk_xy,guard_blend,guard_min_policy_steps,guard_block_down_when_unaligned,guard_release_on_high,guard_action_gain,guarded_align_xy_tolerance,guarded_insert_xy_tolerance,guarded_retract_xy_tolerance,guarded_preinsert_height,guarded_max_xy_action,guarded_max_down_action,guarded_max_up_action,guarded_prediction_steps,guarded_oracle_mode,control_scale_range,control_noise_std_range,control_delay_range,control_filter_alpha_range
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p025_highstarttwophase_block1,full_light_geometry,full_light_geometry,5,0.0,0.2,0.8,269.5230656452641,855.6,634.0,0.7410004675081814,0.8,True,0.019178133284230035,0.04408077355676095,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p03_guardedtwostage_block0,full_light_geometry,full_light_geometry,5,0.0,0.2,0.8,292.10580468416686,855.6,634.2,0.741234221598878,0.8,True,0.01838839730897862,0.04570982362960237,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.03,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p03_guardedtwostage_block1,full_light_geometry,full_light_geometry,5,0.0,0.2,0.8,291.46931612488333,855.6,634.2,0.741234221598878,0.8,True,0.018396087151825464,0.04568280682041363,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.03,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p03_highstarttwophase_block0,full_light_geometry,full_light_geometry,5,0.0,0.2,0.8,289.71592920799804,855.6,634.2,0.741234221598878,0.8,True,0.018233777947933,0.04563981449961283,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.03,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p03_highstarttwophase_block1,full_light_geometry,full_light_geometry,5,0.0,0.2,0.8,291.3969418144335,855.6,634.2,0.741234221598878,0.8,True,0.0183740158539527,0.045678001881870836,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.03,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
no_guard,full_contact_light,full_contact_light,5,0.0,0.4,0.6,-424.35265733036675,733.4,0.0,0.0,0.0,False,0.016694392646204745,0.032704917862382055,none,0.06,0.1,0.0,1.0,0,False,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p02_guardedtwostage_block0,full_contact_light,full_contact_light,5,0.4,0.2,0.4,82.448164559508,598.2,482.0,0.8057505850885991,1.0,True,0.010745921270566998,0.023915555798175926,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p02_guardedtwostage_block1,full_contact_light,full_contact_light,5,0.4,0.2,0.4,82.82244740659976,598.2,482.0,0.8057505850885991,1.0,True,0.010746840346886968,0.023978915268146373,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p02_highstarttwophase_block0,full_contact_light,full_contact_light,5,0.4,0.2,0.4,82.98228262336286,598.2,482.0,0.8057505850885991,1.0,True,0.010750109125065741,0.02393580414470813,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p02_highstarttwophase_block1,full_contact_light,full_contact_light,5,0.4,0.2,0.4,82.58260607759759,598.2,482.0,0.8057505850885991,1.0,True,0.010746559139004429,0.02393607271611011,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p025_guardedtwostage_block0,full_contact_light,full_contact_light,5,0.4,0.2,0.4,55.186242399148,595.0,478.8,0.8047058823529412,1.0,True,0.01073467231147016,0.024708412189868655,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p025_guardedtwostage_block1,full_contact_light,full_contact_light,5,0.4,0.2,0.4,37.61572953983524,594.6,478.4,0.8045745038681466,1.0,True,0.01073341903059055,0.02393626250530285,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p025_highstarttwophase_block0,full_contact_light,full_contact_light,5,0.4,0.2,0.4,37.374961814284724,594.6,478.4,0.8045745038681466,1.0,True,0.010732639346570526,0.023920516731188335,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p025_highstarttwophase_block1,full_contact_light,full_contact_light,5,0.4,0.2,0.4,45.51484536571352,594.6,478.4,0.8045745038681466,1.0,True,0.01073245331866169,0.024346504448412843,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p03_guardedtwostage_block0,full_contact_light,full_contact_light,5,0.4,0.2,0.4,21.49811911102106,591.8,475.6,0.8036498817167963,1.0,True,0.010394252976163735,0.025228052859690275,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.03,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p03_guardedtwostage_block1,full_contact_light,full_contact_light,5,0.4,0.2,0.4,32.58783548404798,592.2,476.0,0.8037825059101654,1.0,True,0.010419624115148702,0.0256793984700604,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.03,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p03_highstarttwophase_block0,full_contact_light,full_contact_light,5,0.4,0.2,0.4,20.8944955250087,591.8,475.6,0.8036498817167963,1.0,True,0.010398491934715086,0.025214136335503113,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.03,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p03_highstarttwophase_block1,full_contact_light,full_contact_light,5,0.4,0.2,0.4,33.48046094107493,591.6,475.4,0.8035835023664638,1.0,True,0.010413026576575507,0.025681909161658446,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.03,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
no_guard,hard_full_light_bucket,full_light_geometry,5,0.4,0.4,0.2,-209.097320738577,543.2,0.0,0.0,0.0,False,0.016074195896110206,0.02630779969501231,none,0.06,0.1,0.0,1.0,0,False,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p02_guardedtwostage_block0,hard_full_light_bucket,full_light_geometry,5,0.2,0.2,0.6,-16.90523265810331,688.2,571.4,0.8302818947980237,1.0,True,0.012776491066781071,0.03326698888012749,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p02_guardedtwostage_block1,hard_full_light_bucket,full_light_geometry,5,0.2,0.2,0.6,-16.912082499863203,688.2,571.4,0.8302818947980237,1.0,True,0.012774891241638133,0.033265961755523744,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p02_highstarttwophase_block0,hard_full_light_bucket,full_light_geometry,5,0.2,0.2,0.6,-16.900442495748287,688.2,571.4,0.8302818947980237,1.0,True,0.01277664181414507,0.033266646863819326,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p02_highstarttwophase_block1,hard_full_light_bucket,full_light_geometry,5,0.2,0.2,0.6,-16.91692977975827,688.2,571.4,0.8302818947980237,1.0,True,0.012775085452860047,0.03326618434849662,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p025_guardedtwostage_block0,hard_full_light_bucket,full_light_geometry,5,0.4,0.2,0.4,166.71796461179545,540.8,424.0,0.7840236686390534,1.0,True,0.01229789275185577,0.02952459873276072,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p025_guardedtwostage_block1,hard_full_light_bucket,full_light_geometry,5,0.4,0.2,0.4,166.7210529051902,540.8,424.0,0.7840236686390534,1.0,True,0.012296822307139552,0.02952373610518222,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p025_highstarttwophase_block0,hard_full_light_bucket,full_light_geometry,5,0.4,0.2,0.4,166.7241118274516,540.8,424.0,0.7840236686390534,1.0,True,0.012297750226303899,0.029525457715202562,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p025_highstarttwophase_block1,hard_full_light_bucket,full_light_geometry,5,0.4,0.2,0.4,166.72762403662122,540.8,424.0,0.7840236686390534,1.0,True,0.012296951763652145,0.029524544341059555,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p03_guardedtwostage_block0,hard_full_light_bucket,full_light_geometry,5,0.4,0.2,0.4,147.8236291325549,538.4,421.6,0.7830609212481427,1.0,True,0.01232390806678382,0.029645025168625085,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.03,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p03_guardedtwostage_block1,hard_full_light_bucket,full_light_geometry,5,0.4,0.2,0.4,147.83270707743236,538.4,421.6,0.7830609212481427,1.0,True,0.012321408868627643,0.029644568967006447,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.03,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p03_highstarttwophase_block0,hard_full_light_bucket,full_light_geometry,5,0.4,0.2,0.4,147.8231138690998,538.4,421.6,0.7830609212481427,1.0,True,0.01232243946759526,0.029645156949215788,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.03,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p03_highstarttwophase_block1,hard_full_light_bucket,full_light_geometry,5,0.4,0.2,0.4,147.8301304926698,538.4,421.6,0.7830609212481427,1.0,True,0.012324947358637635,0.029644627320056727,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.03,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
