candidate,scenario,level,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,mean_guarded_steps,mean_guarded_step_fraction,guarded_episode_rate,guard_enabled,mean_final_dist_xy,mean_final_dist_z,scenario_filter,guard_start_xy,guard_start_z,guard_risk_xy,guard_blend,guard_min_policy_steps,guard_block_down_when_unaligned,guard_action_gain,guarded_align_xy_tolerance,guarded_insert_xy_tolerance,guarded_retract_xy_tolerance,guarded_preinsert_height,guarded_max_xy_action,guarded_max_down_action,guarded_max_up_action,guarded_prediction_steps,control_scale_range,control_noise_std_range,control_delay_range,control_filter_alpha_range
guard_xy060_z100_blend100_down0045_align025,full_light_geometry,full_light_geometry,30,0.6,0.4,0.0,-16.916671461892868,45.46666666666667,44.4,0.9765395894428152,1.0,True,0.01157586757580915,0.030194464609776286,geometry,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0045,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align020,full_light_geometry,full_light_geometry,30,0.6666666666666666,0.3333333333333333,0.0,12.228619482315448,35.93333333333333,34.86666666666667,0.9703153988868276,1.0,True,0.01057961329377589,0.024926741048645142,geometry,0.06,0.1,0.0,1.0,0,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align015,full_light_geometry,full_light_geometry,30,0.6666666666666666,0.3333333333333333,0.0,24.050891954566705,38.96666666666667,37.9,0.9726261762189905,1.0,True,0.010288778369176776,0.025880395886873755,geometry,0.06,0.1,0.0,1.0,0,False,1.0,0.015,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
no_guard,full_contact_light,full_contact_light,30,0.5333333333333333,0.4666666666666667,0.0,-45.97503957665684,31.933333333333334,0.0,0.0,0.0,False,0.012681457327059801,0.024064405866484964,none,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align025,full_contact_light,full_contact_light,30,0.6333333333333333,0.3333333333333333,0.03333333333333333,-1.3036679417249577,40.63333333333333,39.63333333333333,0.9753896636587367,1.0,True,0.010772466898229601,0.027630588147206057,geometry,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy040_z100_blend100_down0035_align025,full_contact_light,full_contact_light,30,0.6666666666666666,0.3,0.03333333333333333,15.528195445133491,40.7,38.03333333333333,0.9344799344799344,0.9666666666666667,True,0.009914646532418598,0.02620604889079414,geometry,0.04,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy050_z100_blend100_down0035_align025,full_contact_light,full_contact_light,30,0.6333333333333333,0.3333333333333333,0.03333333333333333,0.06557563255204096,40.3,38.6,0.957816377171216,1.0,True,0.010807316185405246,0.027617857553915093,geometry,0.05,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy070_z100_blend100_down0035_align025,full_contact_light,full_contact_light,30,0.5,0.4666666666666667,0.03333333333333333,-51.57883030436729,46.166666666666664,45.733333333333334,0.9906137184115524,1.0,True,0.013329142600068272,0.03471109659628125,geometry,0.07,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z060_blend100_down0035_align025,full_contact_light,full_contact_light,30,0.4666666666666667,0.5333333333333333,0.0,-74.48939472291055,39.9,34.666666666666664,0.8688387635756056,1.0,True,0.01412201674218899,0.03265443688966645,geometry,0.06,0.06,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z080_blend100_down0035_align025,full_contact_light,full_contact_light,30,0.6333333333333333,0.3333333333333333,0.03333333333333333,-1.3036851143763575,40.63333333333333,39.63333333333333,0.9753896636587367,1.0,True,0.010772553257541182,0.027630573154140765,geometry,0.06,0.08,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend075_down0035_align025,full_contact_light,full_contact_light,30,0.6666666666666666,0.3333333333333333,0.0,12.276302261841133,40.13333333333333,39.13333333333333,0.9750830564784053,1.0,True,0.010619638737330286,0.025885208359901154,geometry,0.06,0.1,0.0,0.75,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend050_down0035_align025,full_contact_light,full_contact_light,30,0.7,0.3,0.0,26.010794857345005,35.2,34.2,0.9715909090909091,1.0,True,0.010010327807997413,0.022771670450449824,geometry,0.06,0.1,0.0,0.5,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0025_align025,full_contact_light,full_contact_light,30,0.6666666666666666,0.3333333333333333,0.0,-1.0615260628357504,32.1,31.1,0.9688473520249221,1.0,True,0.010832793665727165,0.02419871982275142,geometry,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0025,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0045_align025,full_contact_light,full_contact_light,30,0.6333333333333333,0.3333333333333333,0.03333333333333333,-2.462200269202323,40.36666666666667,39.36666666666667,0.9752270850536746,1.0,True,0.010957059972561776,0.027387081822676473,geometry,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0045,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align020,full_contact_light,full_contact_light,30,0.6666666666666666,0.3333333333333333,0.0,7.583223880094945,35.3,34.3,0.971671388101983,1.0,True,0.010833904004877638,0.0252289994840218,geometry,0.06,0.1,0.0,1.0,0,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align015,full_contact_light,full_contact_light,30,0.6666666666666666,0.3333333333333333,0.0,16.02396593374819,34.43333333333333,33.43333333333333,0.9709583736689255,1.0,True,0.010638365995560733,0.02497871688520963,geometry,0.06,0.1,0.0,1.0,0,False,1.0,0.015,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
no_guard,hard_full_light_bucket,full_light_geometry,30,0.5,0.5,0.0,-76.14534298527147,19.066666666666666,0.0,0.0,0.0,False,0.015228222929677099,0.02220373992103798,none,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy060_z100_blend100_down0035_align025,hard_full_light_bucket,full_light_geometry,30,0.5666666666666667,0.4,0.03333333333333333,-35.62254068694467,27.6,26.433333333333334,0.9577294685990337,1.0,True,0.013886899437939053,0.025590209774397507,geometry,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy040_z100_blend100_down0035_align025,hard_full_light_bucket,full_light_geometry,30,0.4666666666666667,0.4666666666666667,0.06666666666666667,-61.427004903287234,32.5,29.133333333333333,0.8964102564102564,0.9333333333333333,True,0.015461000652965467,0.03149281558886891,geometry,0.04,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy050_z100_blend100_down0035_align025,hard_full_light_bucket,full_light_geometry,30,0.4666666666666667,0.4666666666666667,0.06666666666666667,-61.116085837959396,33.36666666666667,31.2,0.935064935064935,0.9666666666666667,True,0.015464454782076682,0.03139639153608691,geometry,0.05,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy070_z100_blend100_down0035_align025,hard_full_light_bucket,full_light_geometry,30,0.4666666666666667,0.5,0.03333333333333333,-78.55540390521234,25.533333333333335,24.933333333333334,0.9765013054830287,1.0,True,0.016382606954592215,0.02991594810607101,geometry,0.07,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy060_z060_blend100_down0035_align025,hard_full_light_bucket,full_light_geometry,30,0.6333333333333333,0.3333333333333333,0.03333333333333333,-3.347920738409864,28.333333333333332,23.433333333333334,0.8270588235294118,1.0,True,0.012661858543787173,0.02364258571514839,geometry,0.06,0.06,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy060_z080_blend100_down0035_align025,hard_full_light_bucket,full_light_geometry,30,0.5666666666666667,0.4,0.03333333333333333,-35.62259633420652,27.6,26.433333333333334,0.9577294685990337,1.0,True,0.013886911261611215,0.025590143695561316,geometry,0.06,0.08,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy060_z100_blend075_down0035_align025,hard_full_light_bucket,full_light_geometry,30,0.6333333333333333,0.3333333333333333,0.03333333333333333,-4.214704829980708,29.066666666666666,27.9,0.9598623853211009,1.0,True,0.012788671060203281,0.02306810015622018,geometry,0.06,0.1,0.0,0.75,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy060_z100_blend050_down0035_align025,hard_full_light_bucket,full_light_geometry,30,0.6666666666666666,0.3333333333333333,0.0,2.0641803157499443,22.933333333333334,21.766666666666666,0.9491279069767441,1.0,True,0.01229605366485183,0.02193630615889981,geometry,0.06,0.1,0.0,0.5,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy060_z100_blend100_down0025_align025,hard_full_light_bucket,full_light_geometry,30,0.5,0.4666666666666667,0.03333333333333333,-58.30141852019385,30.833333333333332,29.666666666666668,0.9621621621621622,1.0,True,0.01509194270412314,0.02983964508911764,geometry,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0025,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy060_z100_blend100_down0045_align025,hard_full_light_bucket,full_light_geometry,30,0.5333333333333333,0.43333333333333335,0.03333333333333333,-45.75737006540025,29.866666666666667,28.7,0.9609375,1.0,True,0.014194359022702201,0.02823179040043056,geometry,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0045,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy060_z100_blend100_down0035_align020,hard_full_light_bucket,full_light_geometry,30,0.6,0.36666666666666664,0.03333333333333333,-14.241354610530788,29.533333333333335,28.366666666666667,0.9604966139954852,1.0,True,0.01344433265282662,0.026049965242526528,geometry,0.06,0.1,0.0,1.0,0,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy060_z100_blend100_down0035_align015,hard_full_light_bucket,full_light_geometry,30,0.6,0.36666666666666664,0.03333333333333333,-5.898273372596804,29.666666666666668,28.5,0.9606741573033708,1.0,True,0.013349172400734959,0.02562478387712525,geometry,0.06,0.1,0.0,1.0,0,False,1.0,0.015,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
